"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"117","2008","7","Maharashtra","Wardha","25201.0","48.23","69.1","64.97","19070.0","36.49","52.29","49.16","7984.0","15.28","21.89","20.58","52255.0","143.28","134.71"
"117","2009","7","Maharashtra","Wardha","28109.0","43.65","77.2","61.25","24466.0","37.99","67.2","53.31","11822.0","18.36","32.47","25.76","64397.0","176.87","140.33"
"117","2010","7","Maharashtra","Wardha","34945.0","47.35","95.9","74.86","26326.0","35.67","72.24","56.4","12532.0","16.98","34.39","26.85","73803.0","202.53","158.1"
"117","2011","7","Maharashtra","Wardha","29767.0","47.3","81.69","62.23","24946.0","39.64","68.46","52.16","8214.0","13.05","22.54","17.17","62927.0","172.69","131.56"
"117","2012","7","Maharashtra","Wardha","30478.0","52.73","83.64","64.72","18236.0","31.55","50.04","38.73","9082.0","15.71","24.92","19.29","57796.0","158.61","122.74"
"117","2013","7","Maharashtra","Wardha","34333.0","53.71","94.63","73.17","19156.0","29.97","52.8","40.83","10433.0","16.32","28.76","22.24","63922.0","176.19","136.24"
"117","2014","7","Maharashtra","Wardha","36931.0","49.94","101.6","79.42","20366.0","27.54","56.03","43.8","16649.0","22.52","45.8","35.8","73946.0","203.43","159.02"
"117","2015","7","Maharashtra","Wardha","36791.0","48.37","101.24","79.55","26563.0","34.93","73.1","57.43","12702.0","16.7","34.95","27.46","76056.0","209.29","164.45"
"117","2016","7","Maharashtra","Wardha","40246.0","51.41","116.59","90.08","24255.0","30.98","70.26","54.29","13788.0","17.61","39.94","30.86","78289.0","226.79","175.22"
"117","2017","7","Maharashtra","Wardha","30404.0","44.78","88.36","67.9","21073.0","31.03","61.24","47.06","16426.0","24.19","47.74","36.68","67903.0","197.34","151.64"
"118","2008","7","Maharashtra","Nagpur","30253.0","48.84","55.4","51.2","23760.0","38.36","43.51","40.21","7930.0","12.8","14.52","13.42","61943.0","113.43","104.83"
"118","2009","7","Maharashtra","Nagpur","37371.0","51.09","68.03","57.76","30062.0","41.09","54.73","46.46","5721.0","7.82","10.42","8.84","73154.0","133.18","113.07"
"118","2010","7","Maharashtra","Nagpur","41087.0","48.57","74.8","63.52","33023.0","39.04","60.12","51.06","10481.0","12.39","19.08","16.2","84591.0","154.0","130.78"
"118","2011","7","Maharashtra","Nagpur","41856.0","50.58","76.2","65.28","31855.0","38.49","57.99","49.68","9046.0","10.93","16.47","14.11","82757.0","150.66","129.07"
"118","2012","7","Maharashtra","Nagpur","41831.0","58.26","76.07","65.25","22939.0","31.95","41.71","35.78","7029.0","9.79","12.78","10.96","71799.0","130.57","111.99"
"118","2013","7","Maharashtra","Nagpur","42748.0","61.94","77.55","66.14","20062.0","29.07","36.4","31.04","6205.0","8.99","11.26","9.6","69015.0","125.21","106.78"
"118","2014","7","Maharashtra","Nagpur","44227.0","57.5","80.06","68.15","22985.0","29.88","41.61","35.42","9704.0","12.62","17.57","14.95","76916.0","139.24","118.51"
"118","2015","7","Maharashtra","Nagpur","52947.0","56.27","95.71","81.48","31892.0","33.9","57.65","49.08","9250.0","9.83","16.72","14.24","94089.0","170.08","144.8"
"118","2016","7","Maharashtra","Nagpur","42467.0","58.94","75.83","64.46","21329.0","29.6","38.09","32.38","8254.0","11.46","14.74","12.53","72050.0","128.66","109.37"
"118","2017","7","Maharashtra","Nagpur","50667.0","55.16","90.69","77.3","30322.0","33.01","54.27","46.26","10873.0","11.84","19.46","16.59","91862.0","164.42","140.14"
"119","2008","7","Maharashtra","Bhandara","28598.0","73.32","79.11","67.32","9056.0","23.22","25.05","21.32","1351.0","3.46","3.74","3.18","39005.0","107.9","91.82"
"119","2009","7","Maharashtra","Bhandara","28825.0","59.78","79.85","62.07","17565.0","36.43","48.66","37.82","1830.0","3.8","5.07","3.94","48220.0","133.57","103.83"
"119","2010","7","Maharashtra","Bhandara","35903.0","59.67","99.07","75.55","19581.0","32.54","54.03","41.21","4685.0","7.79","12.93","9.86","60169.0","166.03","126.62"
"119","2011","7","Maharashtra","Bhandara","35170.0","63.03","97.26","82.12","18135.0","32.5","50.15","42.34","2493.0","4.47","6.89","5.82","55798.0","154.31","130.28"
"119","2012","7","Maharashtra","Bhandara","33386.0","60.88","92.53","67.58","17253.0","31.46","47.82","34.93","4202.0","7.66","11.65","8.51","54841.0","152.0","111.01"
"119","2013","7","Maharashtra","Bhandara","39120.0","65.99","108.58","78.82","16996.0","28.67","47.17","34.25","3164.0","5.34","8.78","6.38","59280.0","164.53","119.44"
"119","2014","7","Maharashtra","Bhandara","38014.0","63.46","105.98","77.11","18606.0","31.06","51.87","37.74","3282.0","5.48","9.15","6.66","59902.0","167.0","121.51"
"119","2015","7","Maharashtra","Bhandara","46098.0","66.25","128.44","93.39","21284.0","30.59","59.3","43.12","2204.0","3.17","6.14","4.47","69586.0","193.89","140.98"
"119","2016","7","Maharashtra","Bhandara","54851.0","65.84","152.66","109.33","24803.0","29.77","69.03","49.44","3652.0","4.38","10.16","7.28","83306.0","231.86","166.05"
"119","2017","7","Maharashtra","Bhandara","39166.0","66.95","109.52","80.92","17288.0","29.55","48.34","35.72","2044.0","3.49","5.72","4.22","58498.0","163.59","120.86"
"120","2008","7","Maharashtra","Chandrapur","32609.0","64.79","51.93","44.47","14179.0","28.17","22.58","19.34","3541.0","7.04","5.64","4.83","50329.0","80.14","68.63"
"120","2009","7","Maharashtra","Chandrapur","34832.0","52.19","55.88","48.53","25334.0","37.96","40.64","35.3","6569.0","9.84","10.54","9.15","66735.0","107.07","92.98"
"120","2010","7","Maharashtra","Chandrapur","44599.0","55.04","71.24","61.13","29538.0","36.46","47.19","40.49","6886.0","8.5","11.0","9.44","81023.0","129.43","111.05"
"120","2011","7","Maharashtra","Chandrapur","46121.0","60.43","73.68","67.11","24779.0","32.46","39.58","36.06","5426.0","7.11","8.67","7.9","76326.0","121.93","111.07"
"120","2012","7","Maharashtra","Chandrapur","46347.0","62.12","74.08","61.89","21869.0","29.31","34.96","29.2","6396.0","8.57","10.22","8.54","74612.0","119.26","99.63"
"120","2013","7","Maharashtra","Chandrapur","45373.0","66.57","71.96","60.55","18750.0","27.51","29.74","25.02","4035.0","5.92","6.4","5.39","68158.0","108.1","90.96"
"120","2014","7","Maharashtra","Chandrapur","50631.0","61.19","80.04","67.78","25011.0","30.23","39.54","33.48","7106.0","8.59","11.23","9.51","82748.0","130.81","110.77"
"120","2015","7","Maharashtra","Chandrapur","59149.0","63.09","93.87","79.44","28031.0","29.9","44.49","37.65","6577.0","7.01","10.44","8.83","93757.0","148.8","125.92"
"120","2016","7","Maharashtra","Chandrapur","54453.0","65.58","86.01","71.99","23894.0","28.78","37.74","31.59","4689.0","5.65","7.41","6.2","83037.0","131.16","109.78"
"120","2017","7","Maharashtra","Chandrapur","56306.0","62.29","89.28","75.65","27211.0","30.1","43.14","36.56","6878.0","7.61","10.91","9.24","90395.0","143.32","121.45"
